---Collected Data after WordsCount---
Word: title -> Occurrence: 5
Word: dracula -> Occurrence: 32
Word: author -> Occurrence: 2
Word: bram -> Occurrence: 1
Word: stoker -> Occurrence: 1
Word: chapter -> Occurrence: 27
Word: i -> Occurrence: 4708
Word: jonathan -> Occurrence: 180
Word: harkers -> Occurrence: 55
Word: journal -> Occurrence: 47
Word: kept -> Occurrence: 58
Word: in -> Occurrence: 2491
Word: shorthand -> Occurrence: 11
Word:  -> Occurrence: 911
Word: may -> Occurrence: 400
Word: bistritzleft -> Occurrence: 1
Word: munich -> Occurrence: 1
Word: at -> Occurrence: 1077
Word: p -> Occurrence: 18
Word: m -> Occurrence: 12
Word: on -> Occurrence: 1068
Word: st -> Occurrence: 10
Word: arriving -> Occurrence: 2
Word: vienna -> Occurrence: 1
Word: early -> Occurrence: 36
Word: next -> Occurrence: 40
Word: morning -> Occurrence: 96
Word: should -> Occurrence: 196
Word: have -> Occurrence: 1055
Word: arrived -> Occurrence: 21
Word: but -> Occurrence: 1065
Word: train -> Occurrence: 37
Word: was -> Occurrence: 1874
Word: an -> Occurrence: 356
Word: hour -> Occurrence: 52
Word: late -> Occurrence: 57
Word: budapesth -> Occurrence: 6
Word: seems -> Occurrence: 72
Word: a -> Occurrence: 2896
Word: wonderful -> Occurrence: 28
Word: place -> Occurrence: 132
Word: from -> Occurrence: 616
Word: the -> Occurrence: 7825
Word: glimpse -> Occurrence: 7
Word: which -> Occurrence: 648
Word: got -> Occurrence: 157
Word: of -> Occurrence: 3602
Word: it -> Occurrence: 2119
Word: and -> Occurrence: 5824
Word: little -> Occurrence: 168
Word: could -> Occurrence: 492
Word: walk -> Occurrence: 18
Word: through -> Occurrence: 212
Word: streets -> Occurrence: 4
Word: feared -> Occurrence: 29
Word: to -> Occurrence: 4452
Word: go -> Occurrence: 284
Word: very -> Occurrence: 278
Word: far -> Occurrence: 91
Word: station -> Occurrence: 19
Word: as -> Occurrence: 1571
Word: we -> Occurrence: 1526
Word: had -> Occurrence: 1037
Word: would -> Occurrence: 428
Word: start -> Occurrence: 26
Word: near -> Occurrence: 50
Word: correct -> Occurrence: 7
Word: time -> Occurrence: 369
Word: possible -> Occurrence: 32
Word: impression -> Occurrence: 3
Word: that -> Occurrence: 2439
Word: were -> Occurrence: 550
Word: leaving -> Occurrence: 22
Word: west -> Occurrence: 11
Word: entering -> Occurrence: 11
Word: east -> Occurrence: 30
Word: most -> Occurrence: 74
Word: western -> Occurrence: 3
Word: splendid -> Occurrence: 2
Word: bridges -> Occurrence: 1
Word: over -> Occurrence: 327
Word: danube -> Occurrence: 10
Word: is -> Occurrence: 1498
Word: here -> Occurrence: 260
Word: noble -> Occurrence: 21
Word: width -> Occurrence: 1
Word: depth -> Occurrence: 4
Word: took -> Occurrence: 224
Word: us -> Occurrence: 455
Word: among -> Occurrence: 8
Word: traditions -> Occurrence: 3
Word: turkish -> Occurrence: 3
Word: rule -> Occurrence: 3
Word: left -> Occurrence: 97
Word: pretty -> Occurrence: 27
Word: good -> Occurrence: 219
Word: came -> Occurrence: 307
Word: after -> Occurrence: 206
Word: nightfall -> Occurrence: 1
Word: klausenburgh -> Occurrence: 1
Word: stopped -> Occurrence: 43
Word: for -> Occurrence: 1505
Word: night -> Occurrence: 206
Word: hotel -> Occurrence: 12
Word: royale -> Occurrence: 1
Word: dinner -> Occurrence: 25
Word: or -> Occurrence: 447
Word: rather -> Occurrence: 25
Word: supper -> Occurrence: 17
Word: chicken -> Occurrence: 3
Word: done -> Occurrence: 127
Word: up -> Occurrence: 442
Word: some -> Occurrence: 440
Word: way -> Occurrence: 221
Word: with -> Occurrence: 1273
Word: red -> Occurrence: 70
Word: pepper -> Occurrence: 2
Word: thirsty -> Occurrence: 3
Word: mem -> Occurrence: 6
Word: get -> Occurrence: 172
Word: recipe -> Occurrence: 2
Word: mina -> Occurrence: 213
Word: asked -> Occurrence: 142
Word: waiter -> Occurrence: 1
Word: he -> Occurrence: 2541
Word: said -> Occurrence: 569
Word: called -> Occurrence: 43
Word: paprika -> Occurrence: 3
Word: hendl -> Occurrence: 1
Word: national -> Occurrence: 1
Word: dish -> Occurrence: 3
Word: be -> Occurrence: 1106
Word: able -> Occurrence: 47
Word: anywhere -> Occurrence: 16
Word: along -> Occurrence: 55
Word: carpathians -> Occurrence: 9
Word: found -> Occurrence: 153
Word: my -> Occurrence: 1257
Word: smattering -> Occurrence: 1
Word: german -> Occurrence: 5
Word: useful -> Occurrence: 11
Word: indeed -> Occurrence: 51
Word: dont -> Occurrence: 85
Word: know -> Occurrence: 389
Word: how -> Occurrence: 213
Word: without -> Occurrence: 132
Word: having -> Occurrence: 32
Word: disposal -> Occurrence: 5
Word: when -> Occurrence: 771
Word: london -> Occurrence: 66
Word: visited -> Occurrence: 5
Word: british -> Occurrence: 4
Word: museum -> Occurrence: 2
Word: made -> Occurrence: 193
Word: search -> Occurrence: 26
Word: books -> Occurrence: 17
Word: maps -> Occurrence: 6
Word: library -> Occurrence: 8
Word: regarding -> Occurrence: 15
Word: transylvania -> Occurrence: 15
Word: struck -> Occurrence: 32
Word: me -> Occurrence: 1446
Word: foreknowledge -> Occurrence: 1
Word: country -> Occurrence: 23
Word: hardly -> Occurrence: 26
Word: fail -> Occurrence: 17
Word: importance -> Occurrence: 6
Word: dealing -> Occurrence: 3
Word: nobleman -> Occurrence: 2
Word: find -> Occurrence: 113
Word: district -> Occurrence: 1
Word: named -> Occurrence: 3
Word: extreme -> Occurrence: 2
Word: just -> Occurrence: 164
Word: borders -> Occurrence: 1
Word: three -> Occurrence: 58
Word: states -> Occurrence: 1
Word: moldavia -> Occurrence: 1
Word: bukovina -> Occurrence: 7
Word: midst -> Occurrence: 11
Word: carpathian -> Occurrence: 2
Word: mountains -> Occurrence: 11
Word: one -> Occurrence: 489
Word: wildest -> Occurrence: 1
Word: least -> Occurrence: 39
Word: known -> Occurrence: 24
Word: portions -> Occurrence: 1
Word: europe -> Occurrence: 3
Word: not -> Occurrence: 1380
Word: light -> Occurrence: 82
Word: any -> Occurrence: 285
Word: map -> Occurrence: 4
Word: work -> Occurrence: 138
Word: giving -> Occurrence: 5
Word: exact -> Occurrence: 9
Word: locality -> Occurrence: 3
Word: castle -> Occurrence: 50
Word: there -> Occurrence: 764
Word: are -> Occurrence: 578
Word: no -> Occurrence: 475
Word: this -> Occurrence: 616
Word: yet -> Occurrence: 152
Word: compare -> Occurrence: 2
Word: our -> Occurrence: 406
Word: own -> Occurrence: 187
Word: ordnance -> Occurrence: 1
Word: survey -> Occurrence: 1
Word: bistritz -> Occurrence: 10
Word: post -> Occurrence: 14
Word: town -> Occurrence: 21
Word: by -> Occurrence: 500
Word: count -> Occurrence: 151
Word: fairly -> Occurrence: 6
Word: wellknown -> Occurrence: 1
Word: shall -> Occurrence: 425
Word: enter -> Occurrence: 21
Word: notes -> Occurrence: 10
Word: they -> Occurrence: 460
Word: refresh -> Occurrence: 4
Word: memory -> Occurrence: 20
Word: talk -> Occurrence: 34
Word: travels -> Occurrence: 2
Word: population -> Occurrence: 1
Word: four -> Occurrence: 24
Word: distinct -> Occurrence: 1
Word: nationalities -> Occurrence: 2
Word: saxons -> Occurrence: 1
Word: south -> Occurrence: 19
Word: mixed -> Occurrence: 5
Word: them -> Occurrence: 465
Word: wallachs -> Occurrence: 1
Word: who -> Occurrence: 281
Word: descendants -> Occurrence: 1
Word: dacians -> Occurrence: 1
Word: magyars -> Occurrence: 3
Word: szekelys -> Occurrence: 3
Word: north -> Occurrence: 12
Word: am -> Occurrence: 336
Word: going -> Occurrence: 68
Word: latter -> Occurrence: 18
Word: claim -> Occurrence: 5
Word: descended -> Occurrence: 5
Word: attila -> Occurrence: 2
Word: huns -> Occurrence: 3
Word: so -> Occurrence: 1092
Word: conquered -> Occurrence: 1
Word: eleventh -> Occurrence: 1
Word: century -> Occurrence: 8
Word: settled -> Occurrence: 7
Word: read -> Occurrence: 81
Word: every -> Occurrence: 84
Word: superstition -> Occurrence: 7
Word: world -> Occurrence: 61
Word: gathered -> Occurrence: 13
Word: into -> Occurrence: 287
Word: horseshoe -> Occurrence: 1
Word: if -> Occurrence: 627
Word: centre -> Occurrence: 6
Word: sort -> Occurrence: 77
Word: imaginative -> Occurrence: 1
Word: whirlpool -> Occurrence: 2
Word: stay -> Occurrence: 43
Word: interesting -> Occurrence: 10
Word: must -> Occurrence: 440
Word: ask -> Occurrence: 67
Word: all -> Occurrence: 1146
Word: about -> Occurrence: 231
Word: did -> Occurrence: 279
Word: sleep -> Occurrence: 179
Word: well -> Occurrence: 236
Word: though -> Occurrence: 216
Word: bed -> Occurrence: 88
Word: comfortable -> Occurrence: 9
Word: enough -> Occurrence: 59
Word: sorts -> Occurrence: 13
Word: queer -> Occurrence: 10
Word: dreams -> Occurrence: 19
Word: dog -> Occurrence: 28
Word: howling -> Occurrence: 22
Word: under -> Occurrence: 63
Word: window -> Occurrence: 108
Word: something -> Occurrence: 139
Word: do -> Occurrence: 473
Word: been -> Occurrence: 391
Word: drink -> Occurrence: 12
Word: water -> Occurrence: 56
Word: carafe -> Occurrence: 2
Word: still -> Occurrence: 113
Word: towards -> Occurrence: 41
Word: slept -> Occurrence: 34
Word: wakened -> Occurrence: 5
Word: continuous -> Occurrence: 2
Word: knocking -> Occurrence: 4
Word: door -> Occurrence: 195
Word: guess -> Occurrence: 19
Word: sleeping -> Occurrence: 33
Word: soundly -> Occurrence: 10
Word: then -> Occurrence: 543
Word: breakfast -> Occurrence: 24
Word: more -> Occurrence: 368
Word: porridge -> Occurrence: 1
Word: maize -> Occurrence: 1
Word: flour -> Occurrence: 1
Word: mamaliga -> Occurrence: 1
Word: eggplant -> Occurrence: 1
Word: stuffed -> Occurrence: 1
Word: forcemeat -> Occurrence: 1
Word: excellent -> Occurrence: 14
Word: call -> Occurrence: 58
